progress,invariant1,invariant2,invariant3,invariant4,invariant5,invariant6
6.666666666666666297e-01,1.182659995550634502e+00,-2.420388893079570558e-01,8.304340819561824120e-04,5.226022956356307647e-01,1.984172667353502506e+00,-2.823878565896563719e-01
6.767676767676766847e-01,8.417768115566957032e-01,-2.335043662720968916e-01,7.502779098447466761e-04,5.262575614777997846e-01,1.951205824201614814e+00,-2.612125520987904626e-01
6.868686868686867397e-01,9.232923094199358971e-01,-2.236637149036136973e-01,6.728731118519373734e-04,5.205641062535767416e-01,1.934007387915136711e+00,-2.387232928282697064e-01
6.969696969696969058e-01,1.866118672919566457e+00,-2.029348570511961825e-01,6.011861387626895713e-04,4.508858262772439396e-01,1.932865788773757920e+00,-2.151181218124740280e-01
7.070707070707070718e-01,8.497256314066686800e-01,-1.930982081336745371e-01,5.356842824784374809e-04,4.959375713191398471e-01,1.941298543045545388e+00,-1.907222323152557297e-01
7.171717171717171269e-01,1.195161622543176261e+00,-1.788772183906451596e-01,4.754721338493903969e-04,4.992756907257004939e-01,1.949326285242935830e+00,-1.660001121395434098e-01
7.272727272727272929e-01,1.172654709214928426e+00,-1.647716168972014616e-01,4.217631175101590134e-04,4.989727700342230787e-01,1.950326847043022838e+00,-1.416189546254876530e-01
7.373737373737373479e-01,6.399467660455887552e-01,-1.569800131937462428e-01,3.732333975203000389e-04,5.000765058813795294e-01,1.941891644447493182e+00,-1.182550003189589971e-01
7.474747474747474030e-01,5.282968030340844390e-01,-1.505120387054523223e-01,3.281323056927394274e-04,5.078009365976752232e-01,1.925273804971372682e+00,-9.646499440444220030e-02
7.575757575757574580e-01,5.373624342640040963e-01,-1.439350372902720165e-01,2.861957068226881544e-04,5.129121467388941813e-01,1.902133061652850454e+00,-7.665134176811179423e-02
7.676767676767676241e-01,6.588523765824348954e-01,-1.359203842187570177e-01,2.478005710556896663e-04,5.117509802553003029e-01,1.873938654012376803e+00,-5.907741441777100005e-02
7.777777777777776791e-01,1.024440290930717978e+00,-1.236467812867405869e-01,2.142462810449896572e-04,5.117087709084542357e-01,1.841723187827932096e+00,-4.388763471085378037e-02
7.878787878787877341e-01,4.975437878239500344e-01,-1.177700942065500328e-01,1.849228746002459746e-04,5.110595683648774257e-01,1.804866415240461208e+00,-3.112646871493459852e-02
7.979797979797979002e-01,3.961265013203336127e-01,-1.131589464829816927e-01,1.579433459419362458e-04,5.106773868874828759e-01,1.762453993674641284e+00,-2.075157012090397129e-02
8.080808080808080662e-01,2.847021533252570569e-01,-1.099013995737109506e-01,1.326702873049807657e-04,5.107741032842960660e-01,1.714814746899480546e+00,-1.262952806521010565e-02
8.181818181818181213e-01,2.972243221755940801e-01,-1.065730450606975493e-01,1.087793585895140900e-04,5.112946037005292599e-01,1.662734022631946029e+00,-6.535586438520712277e-03
8.282828282828282873e-01,5.637251633990051358e-01,-1.003903202557860502e-01,8.679506483509375359e-05,5.157579325513448332e-01,1.607084685232333499e+00,-2.164251535868004332e-03
8.383838383838383423e-01,4.488404727625528445e-01,-9.555815867595711388e-02,6.693594314265956062e-05,5.137238206864110923e-01,1.547740242244613595e+00,8.371510708455715509e-04
8.484848484848483974e-01,3.840500994109989907e-01,-9.151264236753461900e-02,4.870042554335245937e-05,5.074909663145824590e-01,1.483562536449233971e+00,2.802956892872472683e-03
8.585858585858585634e-01,7.806357943124189180e-01,-8.353014518511744924e-02,3.249859070042791570e-05,5.061425694709519307e-01,1.414021493874115132e+00,4.005033415276472789e-03
8.686868686868686185e-01,1.742425017704510193e+00,-6.637385902561840356e-02,2.009910080213115683e-05,5.111142751353565661e-01,1.339371104138480373e+00,4.613337884092099349e-03
8.787878787878786735e-01,1.307608259389174021e+00,-5.412949064270730637e-02,1.167726698341745020e-05,5.064427637372314051e-01,1.259546953000455050e+00,4.705861755213845005e-03
8.888888888888888395e-01,1.459770512475591753e+00,-4.135950652473083938e-02,6.046932180044528440e-06,5.104086085729262479e-01,1.171713845025027512e+00,4.341874957954149072e-03
8.989898989898988946e-01,1.473823841013726543e+00,-2.951022542104859286e-02,2.689757641044759377e-06,5.101964922673315472e-01,1.073157306384540766e+00,3.626994773425438849e-03
9.090909090909089496e-01,1.778122509604858070e+00,-1.655748365827660468e-02,1.069985384227472444e-06,4.500285805322235544e-01,9.689795747571637863e-01,2.712221667293876742e-03
9.191919191919191157e-01,1.124584157869272572e+00,-9.338735703242199634e-03,4.847915681833547990e-07,4.924063218296864108e-01,8.450258510564415682e-01,1.767302002498983334e-03
9.292929292929292817e-01,2.681333906626774954e-01,-7.874538452198187252e-03,2.109501831128367480e-07,4.684695600536790128e-01,6.896311765624506540e-01,9.596462537220024807e-04
9.393939393939393367e-01,8.982631011764187212e-01,-3.828729493451273232e-03,6.200591561177922304e-08,4.479164019385317719e-01,5.168883158986009585e-01,4.209733464875466580e-04
9.494949494949493918e-01,8.717102385464088332e-01,-7.238838252586293721e-04,2.747283858372876714e-08,3.141861499739562191e-01,3.616081505849681466e-01,1.466787231152679621e-04
9.595959595959595578e-01,-3.224844372168229056e-01,-1.594886656206908259e-03,1.760863780133228628e-08,3.507586421522783660e-01,2.213398724522009642e-01,3.212498138975908302e-05
9.696969696969696129e-01,2.413635137730636704e-01,-1.147686583186442039e-03,5.665795515262274979e-09,3.950226266207410020e-01,7.342192002639832960e-02,2.116674743502169373e-06
9.797979797979797789e-01,6.914957577081785045e-01,-4.047346401868388887e-04,6.760427345743273326e-10,4.643764328834910221e-02,-7.149479034715527578e-03,1.099796086632484668e-07
9.898989898989899450e-01,8.445729711188755262e-01,0.000000000000000000e+00,0.000000000000000000e+00,-8.754861875847484709e-02,-6.947024202553124875e-03,2.134183592069501909e-08
1.000000000000000000e+00,8.445729711188755262e-01,0.000000000000000000e+00,0.000000000000000000e+00,-8.754861875847484709e-02,-6.947024202553124875e-03,2.134183592069501909e-08
