progress,invariant1,invariant2,invariant3,invariant4,invariant5,invariant6
9.392616458087328368e-01,2.641628741180634066e+00,-2.088471248792068025e+00,4.721799087014557639e-01,9.490804251238458278e-01,6.510244806011318275e+00,1.016433571049479845e+00
9.426685766438124281e-01,3.186929984572285601e+00,-1.967953481913968794e+00,4.143415580631163997e-01,9.401302845139062336e-01,7.012958108895398723e+00,7.167622756661239380e-01
9.459547936188974493e-01,3.386484072410637314e+00,-1.846361170305389265e+00,3.553901309831591360e-01,9.445449682111072276e-01,7.254798966260251447e+00,4.589015027246976519e-01
9.496072828039345826e-01,3.660169402977342834e+00,-1.718024831548295106e+00,2.960760354554826113e-01,9.529618800240988730e-01,7.265175730179412206e+00,2.578585509997666225e-01
9.535670023740010492e-01,4.349173598668457430e+00,-1.564478441329464564e+00,2.374895495639901544e-01,9.690434000845759011e-01,7.062329784284411716e+00,1.165189477005065533e-01
9.574723659722318425e-01,4.706957978652952512e+00,-1.397240875677623784e+00,1.810778229019995855e-01,9.848866735567061159e-01,6.667887150539338670e+00,2.839851859795174127e-02
9.608276592760158774e-01,4.897274089134164399e+00,-1.223712588160392079e+00,1.283712380362904137e-01,9.971613710444731105e-01,6.115165997473994253e+00,-1.791298481163633091e-02
9.628739974445629235e-01,5.222295478237979793e+00,-1.039993392090894142e+00,8.087788517258884258e-02,1.009008800387004801e+00,5.436396428513020851e+00,-3.500144396819566267e-02
9.666869641719956219e-01,5.334935190517978931e+00,-8.557357953984741084e-01,3.987708368210075155e-02,1.018908233048899659e+00,4.663908608268780398e+00,-3.456466348318887327e-02
9.681693882510973292e-01,5.851204435636543799e+00,-6.600471828387878270e-01,6.502009506783612038e-03,1.021205763378419951e+00,3.827729321713905009e+00,-2.623889797932233911e-02
9.708569131059330282e-01,5.989351850279176048e+00,-4.715061296608518138e-01,-1.854392177859563035e-02,1.021251049785260934e+00,2.963592273102821917e+00,-1.676857161695497270e-02
9.721565569071967117e-01,6.159665431601891505e+00,-2.947682019603224957e-01,-3.536189061136178757e-02,1.022239560312252715e+00,2.122437245285291318e+00,-9.416691825081051695e-03
9.735798055799486095e-01,6.275709039785685839e+00,-1.369204908039161062e-01,-4.463578713860869712e-02,1.026685839807119693e+00,1.362655431436310627e+00,-4.627125338009488616e-03
9.775729221841760186e-01,5.774182565226039010e+00,-1.435931543048831090e-02,-4.779902021314193922e-02,1.026255274646113325e+00,7.380175490296801977e-01,-1.626935883081666746e-03
9.812701244631020225e-01,5.515744061768204531e+00,8.277223681354180240e-02,-4.651626500318967877e-02,1.016666937759503009e+00,2.726343171061815229e-01,1.311659972237008958e-04
9.843327263356328460e-01,5.799402321278670946e+00,1.665910104507100920e-01,-4.200823548740654362e-02,1.014327758646447641e+00,-4.733345003364955450e-02,6.048394114892622882e-04
9.883371722527348746e-01,6.615957319672452819e+00,2.393362799061003188e-01,-3.526729270999339610e-02,1.011548650591686416e+00,-2.416496054777391156e-01,-2.815701943289397428e-04
9.914886781630385393e-01,6.957669416669620688e+00,2.884046031828674250e-01,-2.745245550514038846e-02,1.013156698634366748e+00,-2.949200794321830688e-01,-2.078737507979599129e-03
9.978441804605310272e-01,6.909846136265442418e+00,3.124497492622443362e-01,-1.974129742814371286e-02,9.698507929533217720e-01,-1.811308123082479016e-01,-3.772830801362418718e-03
1.001121015088431543e+00,7.868246540187460170e+00,3.175330498475669172e-01,-1.302200849619974780e-02,9.394454659025955889e-01,2.944616880329881808e-02,-4.332682791652294092e-03
1.005289283637010644e+00,7.425047759905258005e+00,3.063231341963814081e-01,-7.720175253700008178e-03,9.980818146223737752e-01,1.699222829079742036e-01,-3.576014319086313117e-03
1.005825950980423711e+00,8.210792231731726787e+00,2.887197476568184595e-01,-3.866618887372104667e-03,8.721169979268297290e-01,1.578396290566488891e-01,-2.341870120438553898e-03
1.006623060590511320e+00,1.150623097922068361e+01,2.540332686805281126e-01,-1.506901914161556076e-03,8.078445062778526475e-01,9.428099357345737230e-02,-1.385381332013191878e-03
1.007446294335507364e+00,1.180644768201369033e+01,1.673853858731769451e-01,-4.695536603928219112e-04,2.175023084535012557e-02,7.087032069683543711e-02,-6.920017505983788383e-04
1.007993944812472176e+00,6.202963307960247086e+00,1.096767696447031731e-01,-1.284062302878548562e-04,-7.757340421281071485e-01,5.088377035892066580e-02,-1.967857715382572673e-04
1.008574072380041597e+00,7.137329502980020557e+00,5.015890433757965589e-02,-1.779888814608084077e-05,-9.814887005603804004e-01,1.593815976358901529e-02,-1.642630601983182160e-05
1.008912779154276906e+00,1.030791883468407910e+01,0.000000000000000000e+00,0.000000000000000000e+00,-3.521297875963732560e-01,-4.125540776848619961e-04,5.359194983017020344e-08
1.009112864398890252e+00,1.030791883468407910e+01,0.000000000000000000e+00,0.000000000000000000e+00,-3.521297875963732560e-01,-4.125540776848619961e-04,5.359194983017020344e-08
